,size,name,mean,std,min,max,q25,q50,q75,mode,kurtosis,coef_assim,kurtosis classification,symmetry classification,cv,bin_size,classification
46,131072,ParallelMergeSort (Original),1924414.65,1410.360400677431,1922020.0,1929770.0,1923457.5,1924090.0,1924842.5,1923220.0,5.097930443237664,1.4619109891217308,Platicurtica,Assim. Pos.,0.0007328776054980828,17,"Assim. Pos. &
Platicurtica"
47,131072,QuickSort (C),12820563.5,26774.526965403693,12794500.0,12909600.0,12805575.0,12809700.0,12819975.0,12809700.0,5.1726979115177,1.81995267536066,Platicurtica,Assim. Pos.,0.0020884048478371246,17,"Assim. Pos. &
Platicurtica"
48,131072,QuickSort (C++ standard),6945067.1,13728.446188983744,6938660.0,7038050.0,6940492.5,6941205.0,6942935.0,6941150.0,27.181282318285394,4.723290185413767,Platicurtica,Assim. Pos.,0.0019767190138427525,17,"Assim. Pos. &
Platicurtica"
49,131072,QuickSort (Cormen),7933430.0,11008.006086024394,7919760.0,7973460.0,7926010.0,7930020.0,7936022.5,7921730.0,5.109818747715334,1.573565553568757,Platicurtica,Assim. Pos.,0.0013875468852721199,17,"Assim. Pos. &
Platicurtica"
50,262144,MergeSort (Weiss),36583664.0,519232.5432538581,36003200.0,38368500.0,36144475.0,36422100.0,36906475.0,36074300.0,3.430128607414153,0.9867661948535688,Platicurtica,Assim. Pos.,0.01419301640354717,18,"Assim. Pos. &
Platicurtica"
52,262144,QuickSort (C),27071434.0,38792.125347094916,27035500.0,27293000.0,27052625.0,27061200.0,27075275.0,27050400.0,16.570695814874146,3.5128219355124792,Platicurtica,Assim. Pos.,0.0014329542109625562,18,"Assim. Pos. &
Platicurtica"
57,524288,QuickSort (C),57187647.5,118042.1885817752,57117100.0,58286900.0,57146725.0,57164700.0,57200825.0,57143700.0,72.25900093203484,7.8993924766903705,Platicurtica,Assim. Pos.,0.00206412037812493,19,"Assim. Pos. &
Platicurtica"
35,32768,MergeSort (Weiss),3863628.0,38002.006387127076,3842370.0,3974230.0,3846190.0,3846965.0,3854817.5,3845370.0,5.8205867637019715,2.1312801274207422,Platicurtica,Assim. Pos.,0.009835834709533909,15,"Assim. Pos. &
Platicurtica"
58,524288,QuickSort (C++ standard),30905355.0,56051.979420756164,30881000.0,31351000.0,30889200.0,30894250.0,30903200.0,30889700.0,43.228241430357556,6.219605160140096,Platicurtica,Assim. Pos.,0.0018136656065188756,19,"Assim. Pos. &
Platicurtica"
59,524288,QuickSort (Cormen),35162635.0,51608.093858996035,35106800.0,35332700.0,35126950.0,35146950.0,35174650.0,35144600.0,4.472222462428735,1.4889721127451874,Platicurtica,Assim. Pos.,0.0014676969987885162,19,"Assim. Pos. &
Platicurtica"
62,1048576,QuickSort (C),120420835.0,483647.69537464774,120204000.0,125324000.0,120273750.0,120326500.0,120431250.0,120256000.0,74.44953455167868,8.09325115691253,Platicurtica,Assim. Pos.,0.004016312421140808,20,"Assim. Pos. &
Platicurtica"
64,1048576,QuickSort (Cormen),73888207.5,110269.86902059142,73762100.0,74272800.0,73816450.0,73848150.0,73916600.0,73774300.0,4.652205190272955,1.507482048739581,Platicurtica,Assim. Pos.,0.001492387929705717,20,"Assim. Pos. &
Platicurtica"
67,2097152,QuickSort (C),252760270.0,1018084.1042451235,252389000.0,264207000.0,252516750.0,252587000.0,252680500.0,252502000.0,92.8309593922616,9.02227766996832,Platicurtica,Assim. Pos.,0.004027864443431412,21,"Assim. Pos. &
Platicurtica"
69,2097152,QuickSort (Cormen),154566780.0,129986.20568483598,154406000.0,155312000.0,154475500.0,154539500.0,154617000.0,154451000.0,11.512819112716631,2.354386261060971,Platicurtica,Assim. Pos.,0.00084097116912726,21,"Assim. Pos. &
Platicurtica"
72,4194304,QuickSort (C),532116695.0,618369.9775382038,531287000.0,535275000.0,531677750.0,531885000.0,532471000.0,531468000.0,6.250600220402505,1.5079525360363764,Platicurtica,Assim. Pos.,0.0011620946746243393,22,"Assim. Pos. &
Platicurtica"
73,4194304,QuickSort (C++ standard),286358930.0,881227.5387065969,285840000.0,290257000.0,285990000.0,286116000.0,286219000.0,285950000.0,12.516697074110038,3.237781165150485,Platicurtica,Assim. Pos.,0.0030773530921721103,22,"Assim. Pos. &
Platicurtica"
77,8388608,QuickSort (C),1110062150.0,745004.0487563297,1109050000.0,1113900000.0,1109580000.0,1109785000.0,1110402500.0,1109660000.0,8.112612357439316,1.9322047525717998,Platicurtica,Assim. Pos.,0.0006711372410601781,23,"Assim. Pos. &
Platicurtica"
78,8388608,QuickSort (C++ standard),597359200.0,393604.21924444294,596982000.0,601258000.0,597156500.0,597342000.0,597457750.0,597315000.0,65.13389441072887,7.0349890852017545,Platicurtica,Assim. Pos.,0.0006589071018650804,23,"Assim. Pos. &
Platicurtica"
79,8388608,QuickSort (Cormen),662660015.0,1458677.5330766242,661161000.0,670454000.0,661933500.0,662342000.0,663014750.0,661389000.0,16.98570292935043,3.285533484001804,Platicurtica,Assim. Pos.,0.0022012457369660733,23,"Assim. Pos. &
Platicurtica"
81,16777216,ParallelMergeSort (Original),223242705.0,1272448.7127613637,221690000.0,228019000.0,222378500.0,222757500.0,223734250.0,222074000.0,5.718061447465622,1.7037909115325753,Platicurtica,Assim. Pos.,0.005699844538084072,24,"Assim. Pos. &
Platicurtica"
82,16777216,QuickSort (C),2315179950.0,1918901.354824858,2313160000.0,2324810000.0,2314055000.0,2314610000.0,2315450000.0,2313680000.0,8.64483651858261,2.224764818539896,Platicurtica,Assim. Pos.,0.0008288346462333772,24,"Assim. Pos. &
Platicurtica"
83,16777216,QuickSort (C++ standard),1248443450.0,6137370.870618407,1244440000.0,1264010000.0,1244815000.0,1245060000.0,1247925000.0,1244920000.0,3.1289225661553055,1.3689118549542927,Platicurtica,Assim. Pos.,0.0049160183191464596,24,"Assim. Pos. &
Platicurtica"
36,32768,ParallelMergeSort (Original),644954.505,3374.7887214680727,641483.0,660316.0,643313.5,643934.0,644776.25,641940.0,11.983518890504884,2.885236367955278,Platicurtica,Assim. Pos.,0.005232599656727838,15,"Assim. Pos. &
Platicurtica"
42,65536,QuickSort (C),6053003.0,40117.6406892572,6032670.0,6402950.0,6038387.5,6043765.0,6052115.0,6036230.0,58.08838456569929,6.914009101234969,Platicurtica,Assim. Pos.,0.006627725228164796,16,"Assim. Pos. &
Platicurtica"
14,1024,QuickSort (Cormen),38904.938500000004,55.412495803799466,38820.1,39138.4,38866.149999999994,38895.8,38927.475,38834.1,4.389406347571031,1.1246501875429775,Platicurtica,Assim. Pos.,0.0014243049324907547,10,"Assim. Pos. &
Platicurtica"
22,4096,QuickSort (C),289383.67,2457.983097099681,287883.0,298256.0,288087.5,288290.0,289476.0,287946.0,7.598628168875334,2.3612141159387705,Platicurtica,Assim. Pos.,0.008493855569319723,12,"Assim. Pos. &
Platicurtica"
2,256,QuickSort (C),12889.0835,55.36236751108216,12865.4,13377.9,12872.6,12876.6,12880.525,12870.6,43.71042347557796,5.949053203166107,Platicurtica,Assim. Pos.,0.004295291244802795,8,"Assim. Pos. &
Platicurtica"
4,256,QuickSort (Cormen),8442.19625,10.580071265231865,8424.91,8479.61,8434.7825,8439.744999999999,8448.3575,8435.9,3.4871108173941945,0.9100076650444676,Platicurtica,Assim. Pos.,0.0012532368298393754,8,"Assim. Pos. &
Platicurtica"
5,512,MergeSort (Weiss),40325.9455,51.15035654444466,40259.7,40623.8,40304.975,40313.05,40322.925,40311.5,17.258342402902226,3.5617461522295146,Platicurtica,Assim. Pos.,0.001268422994432819,9,"Assim. Pos. &
Platicurtica"
9,512,QuickSort (Cormen),18016.308,25.89206502300968,17981.7,18180.6,17999.175,18008.55,18025.475,17997.6,10.662663710936112,2.110021085286595,Platicurtica,Assim. Pos.,0.0014371460025555556,9,"Assim. Pos. &
Platicurtica"
